true_intent,account_access_security,damaged_defective_item,delivery_delay,digital_services_technical,missing_delivered_package,order_cancellation,payment_and_billing,prime_membership,returns_and_refunds,service_complaint_escalation,unknown_or_ambiguous
account_access_security,16,0,0,0,0,0,0,0,0,0,2
damaged_defective_item,0,17,0,0,0,0,0,0,1,0,0
delivery_delay,0,0,11,1,3,0,0,2,1,0,0
digital_services_technical,0,0,2,15,0,0,0,0,0,0,1
missing_delivered_package,0,0,0,0,18,0,0,0,0,0,0
order_cancellation,0,0,2,1,0,14,0,0,1,0,0
payment_and_billing,1,0,0,0,0,0,15,0,2,0,0
prime_membership,0,0,0,0,0,0,0,18,0,0,0
returns_and_refunds,0,1,2,0,0,0,1,0,13,0,1
service_complaint_escalation,0,0,1,0,0,0,0,0,1,16,0
unknown_or_ambiguous,1,2,1,0,1,0,1,0,2,1,11
